3, 2, 1.32, 0.22
5, 5, 3.34, 0.74
5, 8, 5.56, 0.97
10, 5, 3.34, 0.74
10, 8, 5.47, 1.01
10, 5, 3.26, 0.80
10, 13, 8.82, 1.48
10, 21, 13.73, 2.32
10, 29, 20.34, 2.88
10, 37, 25.70, 3.68
20, 5, 3.69, 0.78
20, 13, 9.73, 1.52
20, 21, 15.31, 2.41
20, 29, 21.40, 3.11
20, 37, 27.67, 3.81
30, 5, 3.73, 0.88
30, 13, 9.51, 1.57
30, 21, 15.46, 2.35
30, 29, 20.95, 3.06
30, 37, 27.31, 3.88
10, 45, 31.19, 4.24
10, 53, 37.16, 4.95
10, 61, 41.22, 5.69
10, 69, 46.72, 6.32
10, 77, 52.56, 6.96
10, 85, 58.51, 7.65
10, 93, 65.29, 8.35
20, 45, 29.98, 4.18
20, 53, 35.75, 4.83
20, 61, 41.44, 5.61
20, 69, 47.13, 6.26
20, 77, 53.34, 6.92
20, 85, 62.56, 7.58
20, 93, 65.98, 8.53
30, 45, 30.92, 4.16
30, 53, 39.84, 5.00
30, 61, 45.35, 6.10
30, 69, 50.12, 6.39
30, 77, 57.97, 7.01
30, 85, 63.89, 8.76
30, 93, 68.53, 8.72
