3, 2, 1.25, 0.22
5, 5, 3.04, 0.42
5, 8, 4.86, 0.68
10, 5, 3.08, 0.44
10, 8, 4.85, 0.67
10, 5, 3.07, 0.73
10, 13, 7.99, 1.37
10, 21, 12.94, 2.03
10, 29, 18.34, 2.73
10, 37, 23.12, 3.35
10, 45, 28.44, 3.99
10, 53, 33.74, 4.62
10, 61, 39.37, 5.30
10, 69, 44.91, 5.94
10, 77, 50.52, 6.69
10, 85, 56.24, 7.35
10, 93, 62.09, 7.94
20, 5, 3.12, 0.73
20, 13, 8.02, 1.38
20, 21, 13.06, 2.03
20, 29, 18.32, 2.68
20, 37, 23.48, 3.36
20, 45, 28.68, 3.99
20, 53, 34.15, 4.64
20, 61, 39.64, 5.33
20, 69, 44.83, 5.93
20, 77, 50.47, 6.56
20, 85, 56.36, 7.18
20, 93, 62.09, 7.86
30, 5, 3.13, 0.74
30, 13, 8.07, 1.37
30, 21, 13.10, 2.02
30, 29, 18.22, 2.67
30, 37, 23.45, 3.32
30, 45, 29.05, 3.96
30, 53, 34.22, 4.60
30, 61, 39.77, 5.24
30, 69, 45.37, 5.92
30, 77, 51.02, 6.58
30, 85, 56.86, 7.23
30, 93, 62.78, 7.83
40, 5, 3.24, 0.75
40, 13, 8.27, 1.37
40, 21, 13.44, 2.03
40, 29, 18.67, 2.69
40, 37, 24.01, 3.37
40, 45, 29.39, 3.98
40, 53, 35.02, 4.63
40, 61, 40.59, 5.29
40, 69, 46.45, 5.97
40, 77, 52.26, 6.61
40, 85, 58.11, 7.24
40, 93, 64.16, 7.99
50, 5, 3.32, 0.73
50, 13, 8.44, 1.37
50, 21, 13.58, 2.01
50, 29, 18.92, 2.67
50, 37, 24.34, 3.32
50, 45, 29.90, 4.02
50, 53, 35.49, 4.68
50, 61, 40.71, 5.28
50, 69, 46.42, 5.92
50, 77, 52.25, 6.53
50, 85, 58.09, 7.22
50, 93, 64.16, 7.82
60, 5, 3.34, 0.73
60, 13, 8.45, 1.37
60, 21, 13.66, 2.01
60, 29, 18.93, 2.69
60, 37, 24.55, 3.33
60, 45, 29.83, 3.97
60, 53, 35.45, 4.60
60, 61, 41.04, 5.27
60, 69, 47.72, 5.91
60, 77, 53.53, 6.63
60, 85, 59.69, 7.30
60, 93, 65.85, 7.95
70, 5, 3.47, 0.75
70, 13, 8.72, 1.39
70, 21, 14.03, 2.04
70, 29, 19.42, 2.71
70, 37, 24.97, 3.40
70, 45, 30.62, 4.00
70, 53, 36.45, 4.69
70, 61, 42.03, 5.31
70, 69, 48.15, 6.00
70, 77, 54.17, 6.68
70, 85, 59.93, 7.34
70, 93, 65.49, 7.90
80, 5, 3.54, 0.71
80, 13, 8.90, 1.38
80, 21, 14.22, 2.02
80, 29, 19.68, 2.67
80, 37, 25.31, 3.34
80, 45, 30.96, 4.04
80, 53, 36.73, 4.65
80, 61, 42.53, 5.37
80, 69, 48.62, 5.97
80, 77, 54.72, 6.65
80, 85, 60.84, 7.36
80, 93, 67.14, 7.94
90, 5, 3.64, 0.73
90, 13, 8.96, 1.37
90, 21, 14.46, 2.04
90, 29, 20.06, 2.70
90, 37, 25.60, 3.33
90, 45, 31.10, 4.55
90, 53, 36.81, 4.62
90, 61, 42.78, 5.28
90, 69, 48.65, 5.96
90, 77, 56.13, 6.60
90, 85, 61.98, 8.75
90, 93, 67.95, 7.96
100, 5, 3.74, 0.73
100, 13, 9.14, 1.38
100, 21, 14.62, 2.04
100, 29, 20.27, 2.69
100, 37, 25.94, 3.38
100, 45, 31.74, 4.00
100, 53, 37.79, 4.68
100, 61, 43.62, 5.31
100, 69, 54.52, 6.00
100, 77, 57.79, 6.63
100, 85, 62.42, 9.06
100, 93, 68.78, 7.96
10, 101, 68.83, 8.77
20, 101, 69.08, 8.60
30, 101, 69.71, 8.63
40, 101, 70.54, 8.62
50, 101, 71.27, 8.66
60, 101, 72.37, 8.66
70, 101, 74.59, 8.68
80, 101, 73.69, 8.64
90, 101, 74.64, 8.69
100, 101, 75.35, 8.75
5, 3, 2.09, 0.28
5, 3, 1.92, 0.57
5, 3, 1.91, 0.38
5, 3, 1.92, 0.38
10, 5, 3.20, 0.74
