3, 2, 2.10, 0.07
10, 5, 5.69, 0.44
10, 21, 21.86, 0.73
10, 37, 38.98, 1.04
10, 53, 56.68, 1.33
10, 69, 74.99, 1.65
10, 85, 93.84, 1.95
30, 5, 5.31, 0.44
30, 21, 22.30, 0.74
30, 37, 39.82, 1.05
30, 53, 57.92, 1.46
30, 69, 76.92, 1.67
30, 85, 95.19, 1.95
50, 5, 5.46, 0.46
50, 21, 22.63, 0.75
50, 37, 40.47, 1.06
50, 53, 58.76, 1.37
50, 69, 77.59, 1.68
50, 85, 99.14, 1.90
70, 5, 5.68, 0.48
70, 21, 23.22, 0.78
70, 37, 41.46, 1.08
70, 53, 59.90, 1.41
70, 69, 79.08, 1.71
70, 85, 98.69, 2.02
20, 13, 13.76, 0.38
20, 29, 30.91, 0.69
20, 45, 48.39, 0.98
20, 61, 66.47, 1.30
20, 77, 85.14, 1.60
20, 93, 104.72, 1.90
40, 13, 13.94, 0.41
40, 29, 31.42, 0.70
40, 45, 49.38, 1.02
40, 61, 68.04, 1.32
40, 77, 87.04, 1.66
40, 93, 106.62, 1.95
60, 13, 14.37, 0.42
60, 29, 32.09, 0.72
60, 45, 50.64, 1.03
60, 61, 69.31, 1.40
60, 77, 88.83, 1.65
60, 93, 108.41, 1.97
80, 13, 14.93, 0.45
80, 29, 32.81, 0.76
80, 45, 51.44, 1.05
80, 61, 70.56, 1.37
80, 77, 89.45, 1.67
80, 93, 109.44, 1.99
20, 5, 5.78, 0.47
20, 21, 22.59, 0.75
20, 37, 40.20, 1.05
20, 53, 58.35, 1.38
20, 69, 77.17, 1.66
20, 85, 96.65, 1.99
40, 5, 5.53, 0.46
40, 21, 23.01, 0.76
40, 37, 41.02, 1.07
40, 53, 59.40, 1.39
40, 69, 77.89, 1.68
40, 85, 97.34, 2.02
60, 5, 5.70, 0.48
60, 21, 23.44, 0.79
60, 37, 41.74, 1.08
60, 53, 60.60, 1.43
60, 69, 79.90, 1.72
60, 85, 99.93, 2.06
80, 5, 5.90, 0.50
80, 21, 24.06, 0.80
80, 37, 43.61, 1.10
80, 53, 62.82, 1.53
80, 69, 81.36, 1.75
80, 85, 101.73, 2.09
20, 5, 5.40, 0.38
20, 21, 22.87, 0.65
20, 37, 39.37, 0.94
20, 53, 57.21, 1.25
20, 69, 75.59, 1.56
20, 85, 94.58, 1.86
40, 5, 5.39, 0.36
40, 21, 22.56, 0.65
40, 37, 40.22, 0.97
40, 53, 58.46, 1.27
40, 69, 78.85, 1.72
40, 85, 96.50, 1.88
60, 5, 5.51, 0.38
60, 21, 22.87, 0.68
60, 37, 40.63, 0.98
60, 53, 58.93, 1.28
60, 69, 77.84, 1.60
60, 85, 97.43, 1.90
80, 5, 5.76, 0.40
80, 21, 23.37, 0.70
80, 37, 41.47, 1.02
80, 53, 61.07, 1.56
80, 69, 80.18, 1.65
80, 85, 99.05, 1.95
10, 13, 13.95, 0.33
10, 29, 32.46, 0.57
10, 13, 13.69, 0.31
10, 29, 30.72, 0.57
10, 45, 48.02, 0.87
10, 61, 66.18, 1.19
10, 77, 84.87, 1.49
10, 93, 104.12, 1.79
30, 13, 13.76, 0.30
30, 29, 31.16, 0.59
30, 45, 49.14, 0.92
30, 61, 67.39, 1.19
30, 77, 89.07, 1.50
30, 93, 105.01, 1.82
50, 13, 14.10, 0.31
50, 29, 31.58, 0.61
50, 45, 49.76, 0.92
50, 61, 68.22, 1.22
50, 77, 87.35, 1.53
50, 93, 107.27, 1.84
70, 13, 14.38, 0.33
70, 29, 32.27, 0.64
70, 45, 50.69, 0.93
70, 61, 69.48, 1.28
70, 77, 89.18, 1.55
70, 93, 108.96, 2.01
